,location,total_sqft,bath,price,bhk
0,Electronic City Phase II,1056.0,2.0,39.07,2
1,Uttarahalli,1440.0,2.0,62.0,3
2,Lingadheeranahalli,1521.0,3.0,95.0,3
3,Kothanur,1200.0,2.0,51.0,2
4,Whitefield,1170.0,2.0,38.0,2
5,Old Airport Road,2732.0,4.0,204.0,4
6,Marathahalli,1310.0,3.0,63.25,3
7,Whitefield,1800.0,2.0,70.0,3
8,7th Phase JP Nagar,1000.0,2.0,38.0,2
9,Gottigere,1100.0,2.0,40.0,2
10,Sarjapur,2250.0,3.0,148.0,3
11,Mysore Road,1175.0,2.0,73.5,2
12,Bisuvanahalli,1180.0,3.0,48.0,3
13,Raja Rajeshwari Nagar,1540.0,3.0,60.0,3
14,Other,1100.0,2.0,48.0,2
15,Binny Pete,1755.0,3.0,122.0,3
16,Bellandur,1767.0,3.0,103.0,3
17,Thanisandra,510.0,1.0,25.25,1
18,Other,1250.0,3.0,56.0,3
19,Electronic City,660.0,1.0,23.1,2
20,Whitefield,1610.0,3.0,81.0,3
21,Ramagondanahalli,1151.0,2.0,48.77,2
22,Electronic City,1025.0,2.0,47.0,3
23,Yelahanka,2475.0,4.0,186.0,4
24,Bisuvanahalli,1075.0,2.0,35.0,3
25,Hebbal,1760.0,2.0,123.0,3
26,Raja Rajeshwari Nagar,1693.0,3.0,57.39,3
27,Kasturi Nagar,1925.0,3.0,125.0,3
28,Kanakpura Road,700.0,2.0,36.0,2
29,Electronics City Phase 1,1070.0,2.0,45.5,2
30,Kundalahalli,1724.0,3.0,125.0,3
31,Chikkalasandra,1290.0,2.0,56.12,3
32,Uttarahalli,1143.0,2.0,45.0,2
33,Murugeshpalya,1296.0,2.0,81.0,2
34,Sarjapur  Road,1254.0,3.0,38.0,3
35,Other,600.0,1.0,38.0,1
36,Yelahanka,660.0,1.0,48.0,1
37,Kanakpura Road,1330.74,2.0,91.79,2
38,Doddathoguru,970.0,2.0,33.0,2
39,Whitefield,1459.0,2.0,94.82,2
40,Other,869.0,2.0,36.0,2
41,Other,1270.0,2.0,50.0,2
42,Bhoganhalli,1670.0,3.0,99.0,3
43,Whitefield,2010.0,3.0,91.0,3
44,Lakshminarayana Pura,1185.0,2.0,75.0,2
45,Yelahanka,1600.0,2.0,75.0,3
46,Begur Road,1200.0,2.0,44.0,2
47,Devanahalli,3210.0,2.0,192.0,4
48,Other,840.0,2.0,45.0,2
49,Other,4395.0,3.0,240.0,3
50,Other,845.0,2.0,55.0,2
